"","...1","CAS RN","Name","PesticideTargetClass","PesticideChemClass","MW","pKaChemClass","pKa.gain","pKa.loss","KOW","Koc","KH25C","Pvap25","Sol25","Kdoc","KpSS","KpSd","KpSl","kdegA","kdegW","kdegSd","kdegSl","kdissP","kdisswheat","kdissrice","kdisstomato","kdissapple","kdisslettuce","kdisspotato","avlogEC50","ED50inh,noncanc","ED50ing,noncanc","ED50inh,canc","ED50ing,canc","BAFroot","BAFleaf","BTFmeat","BTFmilk","BAFfish","Flagged Interim Characterization factor ""F""","...41","...42","...43","...44","...45","...46","...47","...48","...49","USEtox internal identification number"
"1",6,"14701-21-4","Ag(I)",NA,NA,"107.87",NA,NA,NA,NA,NA,"9.9999999999999995E-21","2.4084152589004067E-36",NA,"316.22776601683825","95000","3981.0717055349769","380","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21",NA,NA,NA,NA,NA,NA,NA,"-1.7167864119013783","5.6337749999999992E-2","5.6337749999999992E-2","n/a","n/a","2.5999999999999998E-4","0.1","3.0000000000000001E-3","0.02","110",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,"I-000001"
"2",7,"22537-23-1","Al(III)",NA,NA,"26.98",NA,NA,NA,NA,NA,"9.9999999999999995E-21","3.5055501931685987E-44",NA,"814935.52457067173","26657.298807893352","36.6","4810","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21",NA,NA,NA,NA,NA,NA,NA,"-2.5599634684571022","n/a","n/a","n/a","n/a","8.0000000000000004E-4","6.4999999999999997E-4","1.5E-3","2.0000000000000001E-4","66",NA,"F",NA,NA,NA,"F",NA,NA,NA,NA,"I-000002"
"3",8,"22541-54-4","As(III)",NA,NA,"74.921599999999998",NA,NA,NA,NA,NA,"9.9999999999999995E-21",NA,NA,"100","7943.2823472428154","251.18864315095806","550","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21",NA,NA,NA,NA,NA,NA,NA,"0.37303918897593075","1.28772E-2","1.28772E-2","6.1795348837209309E-2","0.95386666666666686","9.2000000000000003E-4","4.3E-3","2E-3","6.0000000000000002E-5","390",NA,"F",NA,NA,NA,"F",NA,NA,NA,NA,"I-000003"
"4",9,"17428-41-0","As(V)",NA,NA,"74.921599999999998",NA,NA,NA,NA,NA,"9.9999999999999995E-21",NA,NA,"100","7943.2823472428154","251.18864315095806","550","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21",NA,NA,NA,NA,NA,NA,NA,"-5.074672128051122E-2","1.28772E-2","1.28772E-2","6.1795348837209309E-2","0.95386666666666686","9.2000000000000003E-4","4.3E-3","2E-3","6.0000000000000002E-5","390",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,"I-000004"
"5",10,"22541-12-4","Ba(II)",NA,NA,"137.33000000000001",NA,NA,NA,NA,NA,"9.9999999999999995E-21","4.3040812006100106E-19",NA,"3012.7096534825546","90.3156355918603","316.22776601683825","0.4","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21",NA,NA,NA,NA,NA,NA,NA,"0.33603628450989065","1.6901325","1.6901325","n/a","NEG","1E-3","1E-3","1.3999999999999999E-4","1.6000000000000001E-4","47",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,"I-000005"
"6",11,"22537-20-8","Be(II)",NA,NA,"9.0121800000000007",NA,NA,NA,NA,NA,"9.9999999999999995E-21","1.070740126697043E-42",NA,"623185.68350559485","1242989.2398249737","630.95734448019323","990","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21",NA,NA,NA,NA,NA,NA,NA,"-1.5893775230450808","1.4946750000000001E-4","5.1340955782073987","0.11071666666666667","NEG","2E-3","1.5E-3","1E-3","8.2999999999999999E-7","19",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,"I-000006"
"7",12,"22537-48-0","Cd(II)",NA,NA,"112.41",NA,NA,NA,NA,NA,"9.9999999999999995E-21","1.454989960287752E-8",NA,"92785.244180506619","3083.4770514537545","1995.2623149688804","150","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21",NA,NA,NA,NA,NA,NA,NA,"-1.8195270714363103","8.0482499999999998E-2","8.0482499999999998E-2","0.14762222222222224","21.592865853658537","0.05","0.88","5.7999999999999996E-3","1.9000000000000001E-4","270",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,"I-000007"
"8",13,"22541-53-3","Co(II)",NA,NA,"58.933199999999999",NA,NA,NA,NA,NA,"9.9999999999999995E-21","2.9837773958947626E-58",NA,"21549.360755738002","3666.6948034089864","1258.925411794168","480","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21",NA,NA,NA,NA,NA,NA,NA,"-0.48774407330345604","n/a","n/a","n/a","n/a","0.02","8.5000000000000006E-3","4.2999999999999999E-4","1.1E-4","400",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,"I-000008"
"9",14,"16065-83-1","Cr(III)",NA,NA,"51.996000000000002",NA,NA,NA,NA,NA,"9.9999999999999995E-21",NA,NA,"3846886061.2544975","89483611.709223047","79432.823472428237","40","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21",NA,NA,NA,NA,NA,NA,NA,"-3.3043688065298995","5776.5428820775642","5776.5428820775642","n/a","NEG","2.0000000000000001E-4","2.0000000000000001E-4","5.4999999999999997E-3","4.2999999999999999E-4","210",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,"I-000009"
"10",15,"18540-29-9","Cr(VI)",NA,NA,"51.996000000000002",NA,NA,NA,NA,NA,"9.9999999999999995E-21",NA,NA,"100","15848.931924611146","50.118723362727238","40","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21","9.9999999999999995E-21",NA,NA,NA,NA,NA,NA,NA,"-0.44287612992420056","1.7299479166666663E-2","9.8374367882792288","2.2143333333333341E-2","2.2143333333333341E-2","2.0000000000000001E-4","2.0000000000000001E-4","5.4999999999999997E-3","4.2999999999999999E-4","210",NA,"F",NA,NA,NA,NA,"F",NA,NA,NA,"I-000010"
