"","...1","CAS RN","Name","PesticideTargetClass","PesticideChemClass","MW","pKaChemClass","pKa.gain","pKa.loss","KOW","Koc","KH25C","Pvap25","Sol25","Kdoc","KpSS","KpSd","KpSl","kdegA","kdegW","kdegSd","kdegSl","kdissP","kdisswheat","kdissrice","kdisstomato","kdissapple","kdisslettuce","kdisspotato","avlogEC50","ED50inh,noncanc","ED50ing,noncanc","ED50inh,canc","ED50ing,canc","BAFroot","BAFleaf","BTFmeat","BTFmilk","BAFfish","Flagged Interim Characterization factor ""F""","...41","...42","...43","...44","...45","...46","...47","...48","...49","USEtox internal identification number"
"1",6,"100-00-5","P-CHLORONITROBENZENE",NA,NA,"157.56","neutral",NA,NA,"245.4708915685033",NA,"0.49389","2.9199999992699999","225",NA,NA,NA,NA,"1.2857250000000001E-7","2.1393431498763744E-7","2.3770479443070826E-8","1.0696715749381872E-7","5.5050354312255423E-7",NA,NA,NA,NA,NA,NA,"0.64962390394046021",NA,NA,"115.88500000000001","115.88500000000001",NA,NA,NA,NA,"19.998618696327448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O-000001"
"2",7,"100-01-6","4-NITROANILINE",NA,NA,"138.13","base","0.53543169338284802",NA,"24.547089156850305","75.857757502918361","1.2726E-4","4.2666666655999998E-4","728",NA,NA,NA,NA,"1.0090230000000001E-5","2.1393431498763744E-7","2.3770479443070826E-8","1.0696715749381872E-7","3.0932912890155465E-7",NA,NA,NA,NA,NA,NA,"0.70403975265021401",NA,NA,NA,"NEG",NA,NA,NA,NA,"4.0003685104612492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O-000002"
"3",8,"100-41-4","ethylbenzene",NA,NA,"106.17","neutral",NA,NA,"1412.5375446227545","169.82436524617444","795.88","1279.99999968","169",NA,NA,NA,NA,"5.3249999999999998E-6","5.3483578746909358E-7","5.9426198607677063E-8","2.6741789373454679E-7","5.7861277567183643E-6",NA,NA,NA,NA,NA,NA,"1.064004409393235","1297.3779","191.04302242838264","21.200268292682932","1897.5548780487804",NA,NA,NA,NA,"73.552933786727223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O-000003"
"4",9,"100-42-5","styrene",NA,NA,"104.15","neutral",NA,NA,"891.25093813374656","912.01083935590987","277.75","853.33333312000002","310",NA,NA,NA,NA,"4.35E-5","5.3483578746909358E-7","5.9426198607677063E-8","2.6741789373454679E-7","5.8290827222587724E-6",NA,NA,NA,NA,NA,NA,"1.0406987287091887","50.818950000000001","1095.1655114139023","10.163914634146344","NEG",NA,NA,NA,NA,"13.489628825916535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O-000004"
"5",10,"100-44-7","Benzyl chloride","Other product constituent","Other pesticide class","126.59","neutral",NA,NA,"199.52623149688802",NA,"41.612000000000002","163.99999995899998","525",NA,NA,NA,NA,"2.1749999999999999E-6","5.3483578746909358E-7","5.9426198607677063E-8","2.6741789373454679E-7","6.1284665297378969E-6","9.2758094517496062E-6","4.6489172787760913E-6","6.5667701981166763E-6","5.2161709793100395E-6","1.310242910736293E-5","1.0407629383451638E-5","0.44948891547858277",NA,NA,"15.067500000000001","15.067500000000001",NA,NA,NA,NA,"15.062601970259026",NA,NA,NA,NA,NA,"F",NA,"F",NA,NA,"O-000005"
"6",11,"100-51-6","benzyl alcohol","Metabolite","Other pesticide class","108.14","neutral",NA,NA,"12.58925411794168","12.58925411794168","3.4037000000000005E-2","12.5333333302","42900",NA,NA,NA,NA,"1.7175000000000001E-5","5.3483578746909358E-7","5.9426198607677063E-8","2.6741789373454679E-7","4.0971920209724419E-6","6.2013510703459183E-6","3.1080379876981948E-6","4.390220347737455E-6","3.4872759788689147E-6","8.7596412142501167E-6","6.9580303425333558E-6","1.6614169812099266",NA,NA,NA,"NEG",NA,NA,NA,NA,"1.5488166189124815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O-000006"
"7",12,"100-52-7","benzyldehyde","Metabolite","Other pesticide class","106.13","neutral",NA,NA,"30.199517204020164",NA,"2.6966999999999999","169.333333291","6950",NA,NA,NA,NA,"9.6749999999999997E-6","5.3483578746909358E-7","5.9426198607677063E-8","2.6741789373454679E-7","6.2484517209185214E-6","9.4574143875068095E-6","4.7399353541413015E-6","6.6953366468093402E-6","5.3182949395448522E-6","1.3358952897408782E-5","1.0611393472763541E-5","1.0892058188512355","281.35069214478597","281.35069214478597","365.05","365.05",NA,NA,NA,NA,"3.5653321878292838",NA,NA,NA,NA,NA,NA,NA,"F",NA,NA,"O-000007"
"8",13,"100-97-0","HEXAMETHYLENETETRAMINE",NA,NA,"140.19","base","9.3054582834820607",NA,"7.0794578438413704E-5",NA,"1.6563999999999999E-4","0.53333333319999998","449000",NA,NA,NA,NA,"3.8151750000000001E-4","1.3370894686727339E-7","1.4856549651919266E-8","6.6854473433636697E-8","4.466690063895233E-7",NA,NA,NA,NA,NA,NA,"4.4373311903745192",NA,NA,NA,"NEG",NA,NA,NA,NA,"0.89309981622351764","F",NA,NA,NA,NA,"F",NA,NA,NA,NA,"O-000008"
"9",14,"101-05-3","ANILAZINE","Fungicide","Other pesticide class","275.52999999999997","acid",NA,"11.571484990558799","7585.7757502918394","1995.2623149688804","2.8381000000000002E-5","8.2666666645999994E-7","8",NA,NA,NA,NA,"3.2108032500000004E-5","4.45696489557578E-8","4.9521832173064224E-9","8.0225368120364038E-6","3.120099852549062E-7","4.7224622280697863E-7","2.3668377799955803E-7","3.343247226275329E-7","2.6556356674941311E-7","6.6706552002114004E-7","5.2986897696382673E-7","-0.95852186181153542","109.51655114139022","109.51655114139022",NA,"NEG",NA,NA,NA,NA,"463.23354367795679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O-000009"
"10",15,"101200-48-0","Tribenuron-methyl","Herbicide","Other pesticide class","395.39","acid",NA,"1.7493500012890699","354.81338923357566","52.480746024977286","1.0302E-8","5.1999999986999999E-8","50",NA,NA,NA,NA,"2.2184549999999998E-6","1.3370894686727339E-7","1.4856549651919266E-8","8.0225368120364042E-7","3.6941440233632725E-7","5.5913132399048686E-7","2.8022948150514635E-7","3.9583466373618703E-7","3.1442264968824488E-7","7.8979398751119237E-7","6.2735566389561666E-7","1.5976829400335968","8.6518075401698287","8.6518075401698287",NA,NA,NA,NA,NA,NA,"3.7462779834405997","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"O-000010"
"11",16,"101-21-3","CHLORPROPHAM","Herbicide, Plant growth regulator","Carbamate","213.67","acid",NA,"9.9676308250339307","3235.9365692962833","398.10717055349761","5.7468999999999999E-2","2.3999999994000001E-2","89",NA,NA,NA,NA,"2.974107E-5","2.1393431498763744E-7","2.3770479443070826E-8","3.2090147248145614E-7","5.7491417749713366E-7","8.7016782023623706E-7","4.3611700261567314E-7","6.1603164004297846E-7","4.8933132516964317E-7","1.2291447162062295E-6","9.7634435264477189E-7","0.52264215138950632","19.674873576558458","19.674873576558458",NA,"NEG",NA,NA,NA,NA,"100.83237577615516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O-000011"
"12",17,"1024-57-3","Heptachlor epoxide","Metabolite","Other pesticide class","389.32","neutral",NA,NA,"95499.258602143804","10471.285480509003","2.121","2.5999999993499999E-3","0.2",NA,NA,NA,NA,"3.8808149999999995E-6","4.45696489557578E-8","4.9521832173064224E-9","2.22848244778789E-8","3.286854795768878E-7","4.9748560481124801E-7","2.4933343404473995E-7","3.5219283671791616E-7","2.797567142726795E-7","7.0271709470524633E-7","5.5818802934779405E-7","-1.7995766617295552","0.27379137785347563","0.27379137785347563","0.15723076923076926","0.15723076923076926",NA,NA,"0.151","2.24E-2","55834.161702592784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O-000012"
